row	tc_id	swe_id_D	empty_C	functional_safety_S	test_group_G	test_set_H	batch	src_json	src_sha8
10	NR1L-VSM42-001	SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-002		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-PARKSENSEw_oHC.1andPARKSENSEw_oHC.2-002.json	54dbd214
11	NR1L-VSM42-002	SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-003		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-PARKSENSEw_oHC.1andPARKSENSEw_oHC.2-003.json	a2b96b2f
12	NR1L-VSM42-003	SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-004		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-PARKSENSEw_oHC.1andPARKSENSEw_oHC.2-004.json	ca215e58
13	NR1L-VSM42-004	SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-005		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-PARKSENSEw_oHC.1andPARKSENSEw_oHC.2-005.json	3f934ec5
14	NR1L-VSM42-005	SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-006		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-PARKSENSEw_oHC.1andPARKSENSEw_oHC.2-006.json	dcf4f504
15	NR1L-VSM42-006	SWE1-VC-RearParkSenseVolume/ParkSenseVolume-008		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-RearParkSenseVolume_ParkSenseVolume-008.json	0697849d
16	NR1L-VSM42-007	SWE1-VC-RearParkSenseVolume/ParkSenseVolume-009		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-RearParkSenseVolume_ParkSenseVolume-009.json	0ba3b6eb
17	NR1L-VSM42-008	SWE1-VC-RearParkSenseVolume/ParkSenseVolume-010		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-RearParkSenseVolume_ParkSenseVolume-010.json	35afc508
18	NR1L-VSM42-009	SWE1-VC-RearParkSenseVolume/ParkSenseVolume-011		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-RearParkSenseVolume_ParkSenseVolume-011.json	444767a4
19	NR1L-VSM42-010	SWE1-VC-RearParkSenseVolume/ParkSenseVolume-012		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-RearParkSenseVolume_ParkSenseVolume-012.json	dc82b752
20	NR1L-VSM42-011	SWE1-VC-RearParkSenseVolume/ParkSenseVolume-013		NA	Vehicle Setup Management R1 Low	Park Sense	b2	SWE1-VC-RearParkSenseVolume_ParkSenseVolume-013.json	0379ddde
