old_tc_id	new_tc_id	row	changed_cols	reason
NR1L-VSM42-003	NR1L-VSM42-003	12	13	P-v3→v4:recv
NR1L-VSM42-004	NR1L-VSM42-004	13	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-VSM42-005	NR1L-VSM42-005	14	13	P-v3→v4:recv
NR1L-VSM42-006	NR1L-VSM42-006	15	13	P-v3→v4:recv
NR1L-VSM42-007	NR1L-VSM42-007	16	13	P-v3→v4:recv
NR1L-VSM42-008	NR1L-VSM42-008	17	13	P-v3→v4:recv
NR1L-VSM42-009	NR1L-VSM42-009	18	13	P-v3→v4:recv
NR1L-VSM42-010	NR1L-VSM42-010	19	13	P-v3→v4:recv
NR1L-VSM42-015	NR1L-VSM42-015	24	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-VSM42-017	NR1L-VSM42-017	26	12	P-v3→v4:send
