sheet_row	sys_ra_feature_id	title_source_description	chapter_for_vf	vf_suffix	document_id	signal_names_in_description	n_signals	n_solved_signals	tc_status
1199	Sys-RA-VF665_V43_VSM-1198	17 Remote_Door_Unlock_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_3186	(空)	Remote_Door_Unlock_Menu	1	0	ISOLATED (DR-VT2)
1200	Sys-RA-VF665_V43_VSM-1199	18 Sound_Horn_Remote_Start_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_1457	(空)	Sound_Horn_Remote_Start_Menu	1	0	ISOLATED (DR-VT2)
1201	Sys-RA-VF665_V43_VSM-1200	19 Horn_Chirp_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_1489	(空)	Horn_Chirp_Menu	1	0	ISOLATED (DR-VT2)
1202	Sys-RA-VF665_V43_VSM-1201	22 Flash_Light_With_Lock_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_1754	(空)	Flash_Light_With_Lock_Menu	1	0	ISOLATED (DR-VT2)
1203	Sys-RA-VF665_V43_VSM-1202	23 Tyre_Pressure_Unit_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_1779	(空)	Tyre_Pressure_Unit_Menu	1	0	ISOLATED (DR-VT2)
1204	Sys-RA-VF665_V43_VSM-1203	25 CAN node 24 (PAM) ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2024	(空)		0	0	ISOLATED (DR-VT2)
1205	Sys-RA-VF665_V43_VSM-1204	26 Side_Distance_Warning ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2048	(空)	Side_Distance_Warning	1	0	ISOLATED (DR-VT2)
1206	Sys-RA-VF665_V43_VSM-1205	27 PAM_Configuration ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2072	(空)	PAM_Configuration	1	0	ISOLATED (DR-VT2)
1207	Sys-RA-VF665_V43_VSM-1206	28 Auto_Door_Unlock_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2142	(空)	Auto_Door_Unlock_Menu	1	0	ISOLATED (DR-VT2)
1208	Sys-RA-VF665_V43_VSM-1207	32 Half_HMI_Setting ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2380	(空)	Half_HMI_Setting	1	0	ISOLATED (DR-VT2)
1209	Sys-RA-VF665_V43_VSM-1208	33 Half_Torque_Sensibility ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value depends on the project Configuration	01.14.01	VF_2404	(空)	Half_Torque_Sensibility	1	0	ISOLATED (DR-VT2)
