sheet_row	sys_ra_feature_id	title_source_description	chapter_for_vf	vf_suffix	document_id	signal_names_in_description	n_signals	n_solved_signals	tc_status
991	Sys-RA-VF665_V43_VSM-990	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	01.08.03	VF_3706	VF655_V43_R3	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	1	1	ISOLATED (DR-VT2)
993	Sys-RA-VF665_V43_VSM-992	"IF the user sets ""Rain_Sensor_Sensibility_Setting.Req"" internal signals to ""Auto 1"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req"" B-CAN signal equal to ""Auto 1"" and sends this signal to IPC"	01.11.01.01.07	VF_483	VF655_V43_R3	Rain_Sensor | Rain_Sensor_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req	3	1	ISOLATED (DR-VT2)
994	Sys-RA-VF665_V43_VSM-993	"IF the user sets ""Rain_Sensor_Sensibility_Setting.Req"" internal signals to ""Auto 2"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req"" B-CAN signal equal to ""Auto 2"" and sends this signal to IPC"	01.11.01.01.07	VF_3588	VF655_V43_R3	Rain_Sensor | Rain_Sensor_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req	3	1	ISOLATED (DR-VT2)
995	Sys-RA-VF665_V43_VSM-994	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.RainSensorSensibility"" message THEN TLM updates the Rain Sensor information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.07	VF_486	VF655_V43_R3	IPC_VEHICLE_SETUP2.RainSensorSensibility | TLM_Vehicle_Setup_Menu.Info	2	1	ISOLATED (DR-VT2)
997	Sys-RA-VF665_V43_VSM-996	The LTM/ETM shall display the Unit Custom setting to allow the customer the ability to modify the measurement units setting.	01.11.01.01.10	VF_3640	VF655_V43_R3		0	0	ISOLATED (DR-VT2)
999	Sys-RA-VF665_V43_VSM-998	"IF ""Odo_Units Change"" PROXI parameter is equal to ""absent"" THEN TLM shall not display the Distance Measurement Unit menu item and the user can not perform any setting."	01.11.01.01.10.01	VF_3642	VF655_V43_R3	Odo_Units Change	1	0	ISOLATED (DR-VT2)
1000	Sys-RA-VF665_V43_VSM-999	"IF ""Odo_Units Change"" PROXI parameter is equal to ""present"" THEN TLM shall display the Distance Measurement Unit menu item and the user can perform setting."	01.11.01.01.10.01	VF_3643	VF655_V43_R3	Odo_Units Change	1	0	ISOLATED (DR-VT2)
1001	Sys-RA-VF665_V43_VSM-1000	"IF the user sets ""Distance_Unit_Setting.Req"" internal signals to ""Km"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req"" B-CAN signal equal to ""Km"" and sends this signal to IPC"	01.11.01.01.10.01	VF_3644	VF655_V43_R3	Distance_Unit_Setting.Req | TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	2	1	ISOLATED (DR-VT2)
1002	Sys-RA-VF665_V43_VSM-1001	"IF the user sets ""Distance_Unit_Setting.Req"" internal signals as ""Miles"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req"" B-CAN signal equal to ""Miles"" and sends this signal to IPC"	01.11.01.01.10.01	VF_3645	VF655_V43_R3	Distance_Unit_Setting.Req | TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	2	1	ISOLATED (DR-VT2)
1003	Sys-RA-VF665_V43_VSM-1002	"WHEN TLM receives ""IPC_VEHICLE_SETUP.DistanceUnit"" message THEN TLM updates the Distance Measurement Unit information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.10.01	VF_3646	VF655_V43_R3	IPC_VEHICLE_SETUP.DistanceUnit | TLM_Vehicle_Setup_Menu.Info	2	1	ISOLATED (DR-VT2)
