修訂項段號	修訂說明逐字	掃描狀態	命中列ID	命中片段
18	- Added RVC_Dynamic_Gridlines.Req and RVC_Delay.Req internal signals.	不可機掃（非 Replacement/Deleted 型或無具名 token）		
19	- Added TELEMATIC_VEHICLE_SETUP.DynamicGrid_Req, TELEMATIC_VEHICLE_SETUP2.Backup_Cam_Delay_Req, IPC_VEHICLE_SETUP.DynamicGrid and IPC_VEHICLE_SETUP2.Backup_Cam_Delay CAN signals	不可機掃（非 Replacement/Deleted 型或無具名 token）		
20	- Replacement of IPC_VEHICLE_SETUP.RainSensorLevel by IPC_VEHICLE_SETUP2.RainSensorSensibility, TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req by TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req and Rain_Sensor_Level_Setting.Req by Rain_Sensor_Sensibility_Setting.Req	可機掃：`IPC_VEHICLE_SETUP.RainSensorLevel`	（無命中）	
20	- Replacement of IPC_VEHICLE_SETUP.RainSensorLevel by IPC_VEHICLE_SETUP2.RainSensorSensibility, TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req by TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req and Rain_Sensor_Level_Setting.Req by Rain_Sensor_Sensibility_Setting.Req	可機掃：`TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req`	Sys-RA-VF665_V43_VSM-472	"…rnal signals to ""Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req"" B-CAN signal equal to ""Enable"" and sends th…"
20	- Replacement of IPC_VEHICLE_SETUP.RainSensorLevel by IPC_VEHICLE_SETUP2.RainSensorSensibility, TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req by TELEMATIC_VEHICLE_SETUP2.RainSensorSensibility_Req and Rain_Sensor_Level_Setting.Req by Rain_Sensor_Sensibility_Setting.Req	可機掃：`TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req`	Sys-RA-VF665_V43_VSM-473	"… signals to ""Not_Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req"" B-CAN signal equal to ""Not_Enable"" and send…"
21	- Deleted IPC_VEHICLE_SETUP.BSDEnable, TELEMATIC_VEHICLE_SETUP.BSDEnable_Req CAN signals	可機掃：`IPC_VEHICLE_SETUP.BSDEnable`	Sys-RA-VF665_V43_VSM-582	"…WHEN TLM receives ""IPC_VEHICLE_SETUP.BSDEnable"" message THEN TLM updates the Blind Spot inf…"
21	- Deleted IPC_VEHICLE_SETUP.BSDEnable, TELEMATIC_VEHICLE_SETUP.BSDEnable_Req CAN signals	可機掃：`TELEMATIC_VEHICLE_SETUP.BSDEnable_Req`	Sys-RA-VF665_V43_VSM-579	"…l signal to ""Enable_LED"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.BSDEnable_Req"" B-CAN signal equal to ""Enable_LED"" and send…"
21	- Deleted IPC_VEHICLE_SETUP.BSDEnable, TELEMATIC_VEHICLE_SETUP.BSDEnable_Req CAN signals	可機掃：`TELEMATIC_VEHICLE_SETUP.BSDEnable_Req`	Sys-RA-VF665_V43_VSM-580	"…l to ""Enable_ LED_Chime"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.BSDEnable_Req"" B-CAN signal equal to ""Enable_ LED_Chime"" a…"
21	- Deleted IPC_VEHICLE_SETUP.BSDEnable, TELEMATIC_VEHICLE_SETUP.BSDEnable_Req CAN signals	可機掃：`TELEMATIC_VEHICLE_SETUP.BSDEnable_Req`	Sys-RA-VF665_V43_VSM-581	"…l signal to ""Not_Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.BSDEnable_Req"" B-CAN signal equal to ""Not_Enable"" and send…"
23	- Added Rearview Camera Dynamic Gridlines and Rearview Camera Delay menus.	不可機掃（非 Replacement/Deleted 型或無具名 token）		
