來源ID	來源chapter	分類	暫代母體對應ID	Jaccard	對應chapter	來源Description(正規化,截110)
Sys-RA-VF665_V43_VSM-1198	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-827	1.0	01.14.01	17 Remote_Door_Unlock_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First
Sys-RA-VF665_V43_VSM-1199	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-828	1.0	01.14.01	18 Sound_Horn_Remote_Start_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. 
Sys-RA-VF665_V43_VSM-1200	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-829	1.0	01.14.01	19 Horn_Chirp_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial V
Sys-RA-VF665_V43_VSM-1201	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-830	1.0	01.14.01	22 Flash_Light_With_Lock_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. Fi
Sys-RA-VF665_V43_VSM-1202	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-831	1.0	01.14.01	23 Tyre_Pressure_Unit_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First
Sys-RA-VF665_V43_VSM-1203	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-832	1.0	01.14.01	25 CAN node 24 (PAM) ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial
Sys-RA-VF665_V43_VSM-1204	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-833	1.0	01.14.01	26 Side_Distance_Warning ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First T
Sys-RA-VF665_V43_VSM-1205	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-834	1.0	01.14.01	27 PAM_Configuration ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial
Sys-RA-VF665_V43_VSM-1206	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-835	1.0	01.14.01	28 Auto_Door_Unlock_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First T
Sys-RA-VF665_V43_VSM-1207	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-836	1.0	01.14.01	32 Half_HMI_Setting ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial 
Sys-RA-VF665_V43_VSM-1208	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-837	1.0	01.14.01	33 Half_Torque_Sensibility ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First
Sys-RA-VF665_V43_VSM-1209	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-838	1.0	01.14.01	34 AHBM_Feature_Menu ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial
Sys-RA-VF665_V43_VSM-1210	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-839	1.0	01.14.01	36 T_EPB_MM 35000 [0;50000] 200 ms LTM DEFINE No N.A. Waiting Time of feedback from IPC for EPB setting
Sys-RA-VF665_V43_VSM-1212	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-841	1.0	01.14.01	40 NAV_Presence ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Valu
Sys-RA-VF665_V43_VSM-1213	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-842	1.0	01.14.01	41 Ambient_Lighting_Function ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. Fir
Sys-RA-VF665_V43_VSM-1214	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-843	1.0	01.14.01	42 Ambient_Dimmer_Switch ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First T
Sys-RA-VF665_V43_VSM-1215	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-844	1.0	01.14.01	43 Model_Year ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First Trial Value 
Sys-RA-VF665_V43_VSM-1216	01.14.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-845	1.0	01.14.01	44 CAN Node 35 (TBM/FTM) ** ** ** ** LTM PROXI No N.A. Range value is indicated in the standard PROXI. First T
