來源ID	來源chapter	分類	暫代母體對應ID	Jaccard	對應chapter	來源Description(正規化,截110)
Sys-RA-VF665_V43_VSM-990	01.08.03	無對應		0.0		TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req
Sys-RA-VF665_V43_VSM-992	01.11.01.01.07	無對應		0.762		"IF the user sets ""Rain_Sensor_Sensibility_Setting.Req"" internal signals to ""Auto 1"" THEN TLM shall set ""TELEMA"
Sys-RA-VF665_V43_VSM-993	01.11.01.01.07	無對應		0.762		"IF the user sets ""Rain_Sensor_Sensibility_Setting.Req"" internal signals to ""Auto 2"" THEN TLM shall set ""TELEMA"
Sys-RA-VF665_V43_VSM-994	01.11.01.01.07	近似對（Jaccard ≥ 0.8）	Sys-RA-VF665_V43_VSM-475	0.889		"WHEN TLM receives ""IPC_VEHICLE_SETUP2.RainSensorSensibility"" message THEN TLM updates the Rain Sensor informat"
Sys-RA-VF665_V43_VSM-996	01.11.01.01.10	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-519	1.0	01.11.01.01.10	The LTM/ETM shall display the Unit Custom setting to allow the customer the ability to modify the measurement 
Sys-RA-VF665_V43_VSM-998	01.11.01.01.10.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-521	1.0	01.11.01.01.10.01	"IF ""Odo_Units Change"" PROXI parameter is equal to ""absent"" THEN TLM shall not display the Distance Measurement"
Sys-RA-VF665_V43_VSM-999	01.11.01.01.10.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-522	1.0	01.11.01.01.10.01	"IF ""Odo_Units Change"" PROXI parameter is equal to ""present"" THEN TLM shall display the Distance Measurement Un"
Sys-RA-VF665_V43_VSM-1000	01.11.01.01.10.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-523	1.0	01.11.01.01.10.01	"IF the user sets ""Distance_Unit_Setting.Req"" internal signals to ""Km"" THEN TLM shall set ""TELEMATIC_VEHICLE_SE"
Sys-RA-VF665_V43_VSM-1001	01.11.01.01.10.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-524	1.0	01.11.01.01.10.01	"IF the user sets ""Distance_Unit_Setting.Req"" internal signals as ""Miles"" THEN TLM shall set ""TELEMATIC_VEHICLE"
Sys-RA-VF665_V43_VSM-1002	01.11.01.01.10.01	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-525	1.0	01.11.01.01.10.01	"WHEN TLM receives ""IPC_VEHICLE_SETUP.DistanceUnit"" message THEN TLM updates the Distance Measurement Unit info"
Sys-RA-VF665_V43_VSM-1004	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-527	1.0	01.11.01.01.10.02	"IF ""Fuel_Type"" PROXI parameter is different to ""CNG"" or ""GPL"" THEN TLM shall display the Consumption Measureme"
Sys-RA-VF665_V43_VSM-1005	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-528	1.0	01.11.01.01.10.02	"IF ""Odo_Units_Change"" PROXI parameter is equal to ""present"" AND ""Distance_Unit_Setting.Req"" is equal to ""km"" T"
Sys-RA-VF665_V43_VSM-1006	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-529	1.0	01.11.01.01.10.02	"IF ""Consumption_Unit_Setting.Req"" is equal to ""Km_Per_Litre"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.Consu"
Sys-RA-VF665_V43_VSM-1007	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-530	1.0	01.11.01.01.10.02	"IF ""Consumption_Unit_Setting.Req"" is equal to ""Litres_Per_100Km"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.C"
Sys-RA-VF665_V43_VSM-1008	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-531	1.0	01.11.01.01.10.02	"IF ""Odo_Units_Change"" PROXI parameter is equal to ""present"" AND ""Distance_Unit_Setting.Req"" is equal to ""miles"
Sys-RA-VF665_V43_VSM-1009	01.11.01.01.10.02	無對應		0.3		"IF ""Consumption_Unit_Setting.Req"" is equal to ""mpg"" THEN"
Sys-RA-VF665_V43_VSM-1010	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-533	1.0	01.11.01.01.10.02	"IF ""Country_Code"" PROXI parameter is equal to ""United States of America"" OR ""GRENADA"" OR ""BURMA"" OR ""MEXICO"" O"
Sys-RA-VF665_V43_VSM-1011	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-534	1.0	01.11.01.01.10.02	"ELSE THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req"" to ""Miles_Per_Gallon_UK"" value."
Sys-RA-VF665_V43_VSM-1012	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-535	1.0	01.11.01.01.10.02	"WHEN TLM receives ""IPC_VEHICLE_SETUP.ConsumptionUnit"" message THEN TLM updates the Consumption Measurement Uni"
Sys-RA-VF665_V43_VSM-1013	01.11.01.01.10.02	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-536	1.0	01.11.01.01.10.02	ELSE THEN TLM shall not display the Consumption Measurement Unit menu item and the user can not perform settin
Sys-RA-VF665_V43_VSM-1015	01.11.01.01.10.03	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-538	1.0	01.11.01.01.10.03	"IF ""External_Temperature_Sensor"" PROXI parameter is equal to ""absent"" THEN TLM shall not display the External "
Sys-RA-VF665_V43_VSM-1016	01.11.01.01.10.03	兩級皆等（逐字全等）	Sys-RA-VF665_V43_VSM-539	1.0	01.11.01.01.10.03	"IF ""External_Temperature_Sensor"" PROXI parameter is equal to ""present"" THEN TLM shall display the External Tem"
