sheet_row	sys_ra_feature_id	title_source_description	chapter_for_vf	vf_suffix	document_id	signal_names_in_description	n_signals	n_solved_signals	tc_status
404	Sys-RA-VF665_V43_VSM-403	In the following Ignition Working Conditions: Ignition On Ignition Pre Start Ignition Start Ignition Cranking Ignition On Engine On the user can mange the vehicle setup menu through TLM_Display.GUI.	01.11.01.01	VF_89	VF665_V43_R3	TLM_Display.GUI	1	0	interim_leaf
405	Sys-RA-VF665_V43_VSM-404	"In case of transition FROM ""Ignition On"" or ""Ignition Pre Start"" or ""Ignition Start"" or ""Ignition Cranking"" or ""Ignition On Engine On"" TO ""Ignition Pre Off"" or ""Ignition Off"" Ignition Working Conditions: TLM shall store the last setup settings."	01.11.01.01	VF_845	VF665_V43_R3		0	0	interim_leaf
408	Sys-RA-VF665_V43_VSM-407	"IF ""Cornering_Lights"" PROXI parameter is equal to ""absent"" THEN TLM shall not display the Cornering Light menu item and the user can not perform any setting."	01.11.01.01.01	VF_405	VF665_V43_R3	Cornering_Light | Cornering_Lights	2	0	interim_leaf
409	Sys-RA-VF665_V43_VSM-408	"IF ""Cornering_Lights"" PROXI parameter is equal to ""present"" THEN TLM shall display the Cornering Light menu item and the user can perform setting."	01.11.01.01.01	VF_406	VF665_V43_R3	Cornering_Light | Cornering_Lights	2	0	interim_leaf
410	Sys-RA-VF665_V43_VSM-409	"IF the user sets ""Cornering_Enable.Req"" internal signals to ""Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req"" B-CAN signal equal to ""True"" and sends this signal to IPC"	01.11.01.01.01	VF_401	VF665_V43_R3	Cornering_Enable.Req | TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	2	1	interim_leaf
411	Sys-RA-VF665_V43_VSM-410	"IF the user sets ""Cornering_Enable.Req"" internal signals as ""Not_Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req"" B-CAN signal equal to ""False"" and sends this signal to IPC"	01.11.01.01.01	VF_402	VF665_V43_R3	Cornering_Enable.Req | TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	2	1	interim_leaf
412	Sys-RA-VF665_V43_VSM-411	"WHEN TLM receives ""IPC_VEHICLE_SETUP.CorneringLightsEnable"" message THEN TLM updates the Cornering information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.01	VF_403	VF665_V43_R3	IPC_VEHICLE_SETUP.CorneringLightsEnable | TLM_Vehicle_Setup_Menu.Info	2	0	interim_leaf
415	Sys-RA-VF665_V43_VSM-414	"IF ""Greeting_Lights_Menù"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Greeting Light menu item and the user can not perform any setting."	01.11.01.01.02	VF_934	VF665_V43_R3	Greeting_Lights_Menù	1	0	interim_leaf
416	Sys-RA-VF665_V43_VSM-415	"IF ""Greeting_Lights_Menù"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Greeting Light menu item and the user can perform setting."	01.11.01.01.02	VF_935	VF665_V43_R3	Greeting_Lights_Menù	1	0	interim_leaf
417	Sys-RA-VF665_V43_VSM-416	"IF the user sets ""GreetingLights_Enable.Req"" internal signals to ""Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req"" B-CAN signal equal to ""True"" and sends this signal to IPC"	01.11.01.01.02	VF_936	VF665_V43_R3	GreetingLights_Enable.Req | TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req	2	1	interim_leaf
418	Sys-RA-VF665_V43_VSM-417	"IF the user sets ""GreetingLights_Enable.Req"" internal signals as ""Not_Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req"" B-CAN signal equal to ""False"" and sends this signal to IPC"	01.11.01.01.02	VF_937	VF665_V43_R3	GreetingLights_Enable.Req | TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req	2	1	interim_leaf
419	Sys-RA-VF665_V43_VSM-418	"WHEN TLM receives ""IPC_VEHICLE_SETUP.GreetingLightsEnable"" message THEN TLM updates the Greeting Lights information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.02	VF_938	VF665_V43_R3	IPC_VEHICLE_SETUP.GreetingLightsEnable | TLM_Vehicle_Setup_Menu.Info	2	1	interim_leaf
421	Sys-RA-VF665_V43_VSM-420	"IF ""Half_Torque_Sensibility"" PROXI parameter is equal to ""Leve 3"" THEN TLM shall display the "" Lanse Sense Warning 1 "" menu item and the user can perform setting with the following options: Early, Late"	01.11.01.01.03	VF_2832	VF665_V43_R3	Half_Torque_Sensibility	1	0	interim_leaf
422	Sys-RA-VF665_V43_VSM-421	"IF the user sets ""LDW_Sensibility_Setting.Req"" internal signals to ""Early"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req"" B-CAN signal equal to ""Early"" and sends this signal to IPC"	01.11.01.01.03	VF_2833	VF665_V43_R3	LDW_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	2	1	interim_leaf
423	Sys-RA-VF665_V43_VSM-422	"IF the user sets ""LDW_Sensibility_Setting.Req"" internal signals to ""Late"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req"" B-CAN signal equal to ""Late"" and sends this signal to IPC"	01.11.01.01.03	VF_2834	VF665_V43_R3	LDW_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	2	1	interim_leaf
424	Sys-RA-VF665_V43_VSM-423	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.LDW_Sensibility"" message THEN TLM updates the LDW Sensibility information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.03	VF_2835	VF665_V43_R3	IPC_VEHICLE_SETUP2.LDW_Sensibility | TLM_Vehicle_Setup_Menu.Info	2	1	interim_leaf
425	Sys-RA-VF665_V43_VSM-424	"IF ""Half_Torque_Sensibility"" PROXI parameter is equal to ""Leve 2"" THEN TLM shall display the "" Lanse Sense Warning 2"" menu item and the user can perform setting with the following options: Early, Med, Late"	01.11.01.01.03	VF_2480	VF665_V43_R3	Half_Torque_Sensibility	1	0	interim_leaf
426	Sys-RA-VF665_V43_VSM-425	"IF the user sets ""LDW_Sensibility_Setting.Req"" internal signals to ""Early"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req"" B-CAN signal equal to ""Early"" and sends this signal to IPC"	01.11.01.01.03	VF_2481	VF665_V43_R3	LDW_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	2	1	interim_leaf
427	Sys-RA-VF665_V43_VSM-426	"IF the user sets ""LDW_Sensibility_Setting.Req"" internal signals to ""Med"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req"" B-CAN signal equal to ""Med"" and sends this signal to IPC"	01.11.01.01.03	VF_2483	VF665_V43_R3	LDW_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	2	1	interim_leaf
428	Sys-RA-VF665_V43_VSM-427	"IF the user sets ""LDW_Sensibility_Setting.Req"" internal signals to ""Late"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req"" B-CAN signal equal to ""Late"" and sends this signal to IPC"	01.11.01.01.03	VF_2482	VF665_V43_R3	LDW_Sensibility_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	2	1	interim_leaf
429	Sys-RA-VF665_V43_VSM-428	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.LDW_Sensibility"" message THEN TLM updates the LDW Sensibility information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.03	VF_2487	VF665_V43_R3	IPC_VEHICLE_SETUP2.LDW_Sensibility | TLM_Vehicle_Setup_Menu.Info	2	1	interim_leaf
431	Sys-RA-VF665_V43_VSM-430	"IF ""Half_HMI_Setting"" PROXI parameter is equal to ""Leve 3"" THEN TLM shall display the "" Lanse Sense Strenght 1 "" menu item and the user can perform setting with the following options: Low, High"	01.11.01.01.04	VF_2847	VF665_V43_R3	Half_HMI_Setting	1	0	interim_leaf
432	Sys-RA-VF665_V43_VSM-431	"IF the user sets ""LDW_Intensity_Setting.Req"" internal signals to ""Low"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req"" B-CAN signal equal to ""Low"" and sends this signal to IPC"	01.11.01.01.04	VF_2848	VF665_V43_R3	LDW_Intensity_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	2	1	interim_leaf
433	Sys-RA-VF665_V43_VSM-432	"IF the user sets ""LDW_Intensity_Setting.Req"" internal signals to ""High"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req"" B-CAN signal equal to ""High"" and sends this signal to IPC"	01.11.01.01.04	VF_2849	VF665_V43_R3	LDW_Intensity_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	2	1	interim_leaf
434	Sys-RA-VF665_V43_VSM-433	"WHEN TLM receives ""IPC_VEHICLE_SETUP2.LDW_Intensity"" message THEN TLM updates the LDW Sensibility information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	01.11.01.01.04	VF_2850	VF665_V43_R3	IPC_VEHICLE_SETUP2.LDW_Intensity | TLM_Vehicle_Setup_Menu.Info	2	1	interim_leaf
435	Sys-RA-VF665_V43_VSM-434	"IF ""Half_HMI_Setting"" PROXI parameter is equal to ""Leve 2"" THEN TLM shall display the "" Lanse Sense Strenght 2"" menu item and the user can perform setting with the following options: Low, Med, High"	01.11.01.01.04	VF_2489	VF665_V43_R3	Half_HMI_Setting	1	0	interim_leaf
436	Sys-RA-VF665_V43_VSM-435	"IF the user sets ""LDW_Intensity_Setting.Req"" internal signals to ""Low"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req"" B-CAN signal equal to ""Low"" and sends this signal to IPC"	01.11.01.01.04	VF_2490	VF665_V43_R3	LDW_Intensity_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	2	1	interim_leaf
437	Sys-RA-VF665_V43_VSM-436	"IF the user sets ""LDW_Intensity_Setting.Req"" internal signals to ""Med"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req"" B-CAN signal equal to ""Med"" and sends this signal to IPC"	01.11.01.01.04	VF_2491	VF665_V43_R3	LDW_Intensity_Setting.Req | TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	2	1	interim_leaf
