sys_ra_feature_id	batch_source	chapter_for_vf	spec_section	spec_section_source	test_set	title_source_description	vf_suffix	document_id	n_signals	n_solved_signals
Sys-RA-VF665_V43_VSM-403	295	01.11.01.01		none	Menu Access and Persistence	In the following Ignition Working Conditions: Ignition On Ignition Pre Start Ignition Start Ignition Cranking Ignition On Engine On the user can mange the vehicle setup menu through TLM_Display.GUI.	VF_89	VF665_V43_R3	1	0
Sys-RA-VF665_V43_VSM-404	295	01.11.01.01		none	Menu Access and Persistence	"In case of transition FROM ""Ignition On"" or ""Ignition Pre Start"" or ""Ignition Start"" or ""Ignition Cranking"" or ""Ignition On Engine On"" TO ""Ignition Pre Off"" or ""Ignition Off"" Ignition Working Conditions: TLM shall store the last setup settings."	VF_845	VF665_V43_R3	0	0
Sys-RA-VF665_V43_VSM-407	295	01.11.01.01.01	1.11.1.1.1	segment_map	Exterior Lighting	"IF ""Cornering_Lights"" PROXI parameter is equal to ""absent"" THEN TLM shall not display the Cornering Light menu item and the user can not perform any setting."	VF_405	VF665_V43_R3	2	0
Sys-RA-VF665_V43_VSM-408	295	01.11.01.01.01	1.11.1.1.1	segment_map	Exterior Lighting	"IF ""Cornering_Lights"" PROXI parameter is equal to ""present"" THEN TLM shall display the Cornering Light menu item and the user can perform setting."	VF_406	VF665_V43_R3	2	0
Sys-RA-VF665_V43_VSM-409	295	01.11.01.01.01	1.11.1.1.1	segment_map	Exterior Lighting	"IF the user sets ""Cornering_Enable.Req"" internal signals to ""Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req"" B-CAN signal equal to ""True"" and sends this signal to IPC"	VF_401	VF665_V43_R3	2	1
Sys-RA-VF665_V43_VSM-410	295	01.11.01.01.01	1.11.1.1.1	segment_map	Exterior Lighting	"IF the user sets ""Cornering_Enable.Req"" internal signals as ""Not_Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req"" B-CAN signal equal to ""False"" and sends this signal to IPC"	VF_402	VF665_V43_R3	2	1
Sys-RA-VF665_V43_VSM-411	295	01.11.01.01.01	1.11.1.1.1	segment_map	Exterior Lighting	"WHEN TLM receives ""IPC_VEHICLE_SETUP.CorneringLightsEnable"" message THEN TLM updates the Cornering information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	VF_403	VF665_V43_R3	2	0
Sys-RA-VF665_V43_VSM-414	295	01.11.01.01.02	1.11.1.1.2	segment_map	Exterior Lighting	"IF ""Greeting_Lights_Menù"" PROXI parameter is equal to ""Absent"" THEN TLM shall not display the Greeting Light menu item and the user can not perform any setting."	VF_934	VF665_V43_R3	1	0
Sys-RA-VF665_V43_VSM-415	295	01.11.01.01.02	1.11.1.1.2	segment_map	Exterior Lighting	"IF ""Greeting_Lights_Menù"" PROXI parameter is equal to ""Present"" THEN TLM shall display the Greeting Light menu item and the user can perform setting."	VF_935	VF665_V43_R3	1	0
Sys-RA-VF665_V43_VSM-416	295	01.11.01.01.02	1.11.1.1.2	segment_map	Exterior Lighting	"IF the user sets ""GreetingLights_Enable.Req"" internal signals to ""Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req"" B-CAN signal equal to ""True"" and sends this signal to IPC"	VF_936	VF665_V43_R3	2	1
Sys-RA-VF665_V43_VSM-417	295	01.11.01.01.02	1.11.1.1.2	segment_map	Exterior Lighting	"IF the user sets ""GreetingLights_Enable.Req"" internal signals as ""Not_Enable"" THEN TLM shall set ""TELEMATIC_VEHICLE_SETUP.GreetingLightsEnable_Req"" B-CAN signal equal to ""False"" and sends this signal to IPC"	VF_937	VF665_V43_R3	2	1
Sys-RA-VF665_V43_VSM-418	295	01.11.01.01.02	1.11.1.1.2	segment_map	Exterior Lighting	"WHEN TLM receives ""IPC_VEHICLE_SETUP.GreetingLightsEnable"" message THEN TLM updates the Greeting Lights information on its display through ""TLM_Vehicle_Setup_Menu.Info"" internal signal"	VF_938	VF665_V43_R3	2	1
Sys-RA-VF665_V43_VSM-420	295	01.11.01.01.03	1.11.1.1.3	segment_map	Lane Departure Warning	"IF ""Half_Torque_Sensibility"" PROXI parameter is equal to ""Leve 3"" THEN TLM shall display the "" Lanse Sense Warning 1 "" menu item and the user can perform setting with the following options: Early, Late"	VF_2832	VF665_V43_R3	1	0
