chapter	列數	組token數	命中1	命中1之節	命中2	序位假說節	假說節是否含該token	判
01.14.01	35	26	26	1.14.1	1	1.14.1	是	有對應（1.14.1，命中 26 vs 次高 1）
01.14.02.01.01	1	1	1	1.14.1	1	1.14.2.1.1	是	並列不可判（多節同分）
01.14.02.01.02	1	0	0		0	1.14.2.1.2	否	無詞可證
01.14.02.01.03	1	1	1	1.14.1	1	1.14.2.1.3	是	並列不可判（多節同分）
01.14.02.01.04	1	1	1	1.14.1	1	1.14.2.1.4	是	並列不可判（多節同分）
01.14.02.01.05	1	1	1	1.14.1	1	1.14.2.1.5	是	並列不可判（多節同分）
01.14.02.01.06	1	1	1	1.14.1	1	1.14.2.1.6	是	並列不可判（多節同分）
01.14.02.01.07	1	1	1	1.14.1	1	1.14.2.1.7	是	並列不可判（多節同分）
01.14.02.01.08	1	1	1	1.14.1	1	1.14.2.1.8	是	並列不可判（多節同分）
01.14.02.01.09	1	1	1	1.14.1	1	1.14.2.1.9	是	並列不可判（多節同分）
01.14.02.01.10	1	0	0		0	1.14.2.1.10	否	無詞可證
01.14.02.01.11	1	0	0		0	1.14.2.1.11	否	無詞可證
01.14.02.01.12	1	0	0		0	1.14.2.1.12	否	無詞可證
01.14.02.01.13	1	0	0		0	1.14.2.1.13	否	無詞可證
01.14.02.01.14	1	1	1	1.14.1	1	1.14.2.1.14	否	並列不可判（多節同分）
01.14.02.01.15	1	0	0		0	1.14.2.1.15	否	無詞可證
01.14.02.01.16	1	0	0		0	1.14.2.1.16	否	無詞可證
01.14.02.01.17	1	1	1	1.14.1	1	1.14.2.1.17	否	並列不可判（多節同分）
01.14.02.01.18	1	1	1	1.14.1	1	1.14.2.1.18	否	並列不可判（多節同分）
01.14.02.01.19	1	1	1	1.14.1	1	1.14.2.1.19	否	並列不可判（多節同分）
01.14.02.01.20	1	0	0		0	1.14.2.1.20	否	無詞可證
01.14.02.01.21	1	1	1	1.14.1	1	1.14.2.1.21	否	並列不可判（多節同分）
01.14.02.01.22	1	1	1	1.14.1	1	1.14.2.1.22	否	並列不可判（多節同分）
01.14.02.01.23	1	1	1	1.14.1	1	1.14.2.1.23	否	並列不可判（多節同分）
01.14.02.01.24	1	1	1	1.14.1	1	1.14.2.1.24	否	並列不可判（多節同分）
01.14.02.01.25	1	1	1	1.14.1	1	1.14.2.1.25	否	並列不可判（多節同分）
01.14.02.01.26	1	1	1	1.14.1	1	1.14.2.1.26	否	並列不可判（多節同分）
01.14.02.01.27	1	1	1	1.14.1	1	1.14.2.1.27	否	並列不可判（多節同分）
01.14.02.01.28	2	2	1	1.14.1	1	1.14.2.1.28	是	並列不可判（多節同分）
01.14.02.01.29	1	1	1	1.14.1	1	1.14.2.1.29	假說節不存在	並列不可判（多節同分）
