規格原名	類別	段1命中檔	段1命中處(前4)	段2	段3	結果	B-1備註
Ambient_Lighting_level_Setting.Req	內部					查無(R-G13)	
AppPrivacyMode_Enable.Req	內部					查無(R-G13)	
App_ClearPersonalData_Enable.Req	內部					查無(R-G13)	
App_PrivacyMode_Enable.Req	內部					查無(R-G13)	
App_RestoreApp_Enable.Req	內部					查無(R-G13)	
App_RestoreDefaultSetting_Enable.Req	內部					查無(R-G13)	
AudioRepetition.Info	內部					查無(R-G13)	
Auto_High_Beam_Enable.Req	內部					查無(R-G13)	
Auto_Park_Brake_Enable.Req	內部					查無(R-G13)	
Auto_Unlock_Door_Exit_Enable.Req	內部					查無(R-G13)	
BRAKE1.VehicleSpeedVSOSig	CAN	LID	LID/CAN Mapping/r1736c3(VehicleSpeedVSOSig);LID/CAN Mapping/r2321c1(VehicleSpeedVSOSig)	BRAKE1.VehicleSpeedVSOSig	BHCAN2:STATUS_CCAN3;FDCAN8:BRAKE_FD_2	B-1 衝突	段3訊息名與規格原名之訊息不符
BRAKE1.VehicleSpeedVSOSigFailSts	CAN			BRAKE1.VehicleSpeedVSOSigFailSts		查無(R-G13)	
ClearPersonalData.Info	內部				FDCAN8:TBM_SCHEDULE_FD_2	解得	
ClearPersonalData_Enable.Req	內部					查無(R-G13)	
Consumption_Unit_Setting.Req	內部					查無(R-G13)	
Cornering_Enable.Req	內部					查無(R-G13)	
DRL_Enable.Req	內部					查無(R-G13)	
Day1_Setting.Info	內部					查無(R-G13)	
Day1_Setting.Req	內部					查無(R-G13)	
Day2_Setting.Info	內部					查無(R-G13)	
Day2_Setting.Req	內部					查無(R-G13)	
Distance_Unit_Setting.Req	內部					查無(R-G13)	
External_Light_Sensor_Level.Req	內部					查無(R-G13)	
External_Light_Sensor_Level_Setting.Req	內部					查無(R-G13)	
FOTA_State.Info	內部					查無(R-G13)	
FSCWPlus_Activation_Mode_Setting.Req	內部					查無(R-G13)	
FSCWPlus_Setting.Req	內部					查無(R-G13)	
Flash_Light_With_Lock_Enable.Req	內部					查無(R-G13)	
