規格原名	類別	抽名來源	段1命中檔	段1逐字命中(前3)	段1擴充命中(前3)	段2	段3	結果	備註	variantB才命中
AHBM_Feature_Menu	PROXI	段落;表格	PROXI	PROXI/Format/r587c6(逐字:AHBM_Feature_Menu)				PROXI路徑(R-P375b/c)		
Ambient_Dimmer_Switch	PROXI	段落;表格	PROXI	PROXI/Revision Notes/r179c7(逐字:Ambient_Dimmer_Switch);PROXI/Revision Notes/r182c7(逐字:Ambient_Dimmer_Switch);PROXI/Revision Notes/r198c7(逐字:Ambient_Dimmer_Switch)				PROXI路徑(R-P375b/c)		
Ambient_Lighting_Function	PROXI	段落;表格	PROXI	PROXI/Format/r595c6(逐字:Ambient_Lighting_Function)				PROXI路徑(R-P375b/c)		
Ambient_Lighting_level_Setting.Req	內部	段落						未解得(止於段1)		
AppPrivacyMode_Enable.Req	內部	段落						未解得(止於段1)		
App_ClearPersonalData_Enable.Req	內部	段落						未解得(止於段1)		
App_PrivacyMode_Enable.Req	內部	段落						未解得(止於段1)		
App_RestoreApp_Enable.Req	內部	段落						未解得(止於段1)		
App_RestoreDefaultSetting_Enable.Req	內部	段落						未解得(止於段1)		
AudioRepetition.Info	內部	段落						未解得(止於段1)		
Auto_Close_Menu	PROXI	段落;表格	PROXI	PROXI/Format/r480c6(逐字:Auto_Close_Menu)				PROXI路徑(R-P375b/c)		
Auto_Door_Unlock_Menu	PROXI	段落;表格	PROXI	PROXI/Format/r586c6(逐字:Auto_Door_Unlock_Menu)				PROXI路徑(R-P375b/c)		
Auto_High_Beam_Enable.Req	內部	段落						未解得(止於段1)		
Auto_Park_Brake_Enable.Req	內部	段落;表格						未解得(止於段1)		
Auto_Park_Brake_Menu	PROXI	段落;表格	PROXI	PROXI/Format/r578c6(逐字:Auto_Park_Brake_Menu)				PROXI路徑(R-P375b/c)		
Auto_Unlock_Door_Exit_Enable.Req	內部	段落						未解得(止於段1)		
BRAKE1.VehicleSpeedVSOSig	CAN	段落	LID;LID(擴充)	LID/CAN Mapping/r1736c3(逐字:VehicleSpeedVSOSig);LID/CAN Mapping/r2321c1(逐字:VehicleSpeedVSOSig)	LID/CAN Mapping/r2321c1(擴充鍵:vehiclespeedvsosig)	BRAKE1.VehicleSpeedVSOSig	BHCAN2:STATUS_CCAN3;FDCAN8:BRAKE_FD_2	解得	R-VT9(b)：LID 載匯流排 `FD` → 取 FDCAN8（BRAKE_FD_2）；BHCAN2 記旁證。規格訊息名 `BRAKE1` 與段 3 不同，依 R-13 上半保留原文	
BRAKE1.VehicleSpeedVSOSigFailSts	CAN	段落				BRAKE1.VehicleSpeedVSOSigFailSts		未解得(止於段1)		
Brand_Configuration_2	PROXI	段落	PROXI	PROXI/Format/r566c6(逐字:Brand_Configuration_2)				PROXI路徑(R-P375b/c)		
Brand_configuration_2	PROXI	表格						未解得(止於段1)		
CAN Node 35 (TBM)	PROXI	段落						未解得(止於段1)		
CAN node 24 (PAM )	PROXI	段落						未解得(止於段1)		
CAN node 24 (PAM)	PROXI	段落						未解得(止於段1)		
ClearPersonalData.Info	內部	段落					FDCAN8:TBM_SCHEDULE_FD_2	解得		
ClearPersonalData_Enable.Req	內部	段落						未解得(止於段1)		
