doc_id	filename	sha256	version	features	note
gitkeep	.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855			proposed｜NOT_SOURCE_DOC｜FORMS｜路徑：forms/.gitkeep
4814254_4561062_cftsmv015_cip_r1_o833_116_inline	4814254- 4561062- CFTSMV015_CIP_R1_O833_116_inline.rtf	ac9be886c8b95cc75c69f8dc10df6d5c1d5bea6131c228e1a469d613a20d2d24	V015	time_management	proposed｜路徑：features/time_management/inputs/4814254- 4561062- CFTSMV015_CIP_R1_O833_116_inline.rtf
4814255_4561063_cftsmv015_cip_r1_o882_117_inline	4814255- 4561063- CFTSMV015_CIP_R1_O882_117_inline.rtf	0163cf7d298bb14e92012503c12f52e9e0d05552d68ec7d867582052fd7c1de2	V015	time_management	proposed｜路徑：features/time_management/inputs/4814255- 4561063- CFTSMV015_CIP_R1_O882_117_inline.rtf
4814256_4561064_cftsmv015_cip_r1_o922_118_inline	4814256- 4561064- CFTSMV015_CIP_R1_O922_118_inline.rtf	186a6c7f3e41d5be29ea841e321861c56c664979f72159d920ce618450c0c71f	V015	time_management	proposed｜路徑：features/time_management/inputs/4814256- 4561064- CFTSMV015_CIP_R1_O922_118_inline.rtf
4907974	4907974.png	fd0353130d36b5ee2cc02f32d6cfbec445aba1a8273033ea2df2f6fb5e32de27		sw_update	proposed｜路徑：features/sw_update/inputs/cfts057_objects/4907974.png
4907975	4907975.png	e2c2a23c53db8451047db8a6e647d8f1d9b5f39a84e110aaf32a1f69d9c5a27d		sw_update	proposed｜路徑：features/sw_update/inputs/cfts057_objects/4907975.png
4907976	4907976.png	2e8b0d8d3e68f4d7d59d360eac3d0fbef47cc94a117eb54e8c6892d840994f10		sw_update	proposed｜路徑：features/sw_update/inputs/cfts057_objects/4907976.png；features/sw_update/inputs/cfts057_objects/4907977.png
4907980	4907980.png	2ad17a43bf5ef812f9f9b4853c06c3f6dcd28b7e05ed9f3d6522e9c7ae88e76a		sw_update	proposed｜路徑：features/sw_update/inputs/cfts057_objects/4907980.png
4908702	4908702.png	bf5deb188197a052b481b6d112c00129602cd2f0d051fb9d5bf7f9d60dcade58		sw_update	proposed｜路徑：features/sw_update/inputs/cfts057_objects/4908702.png
4942177_cftsmv009_cip_r4_o829_4_inline	4942177- CFTSMV009_CIP_R4_O829_4_inline.rtf	a29fe63963192b804e20ed2fc6278dc9c434cbbb36b26bd77627cc0ea92949bb	V009	power	proposed｜路徑：features/power/inputs/4942177- CFTSMV009_CIP_R4_O829_4_inline.rtf
4942178_cftsmv009_cip_r4_o1584_5_inline	4942178- CFTSMV009_CIP_R4_O1584_5_inline.rtf	dede965f228429c6e95aa7f7c4de08f0a52f1fd28b12ef10da3fc6db8638a9cc	V009	power	proposed｜路徑：features/power/inputs/4942178- CFTSMV009_CIP_R4_O1584_5_inline.rtf
audio_output_management_etm_non_amplified_audio_system_v3_r3	Audio_Output_Management_-_ETM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V3_R3.docx	c54f700f81c4c70e52b9ccf460a143b341471163c7b6d5e1d5f0b9f00637aa0f	V3	privacy	proposed｜路徑：features/privacy/inputs/Audio_Output_Management_-_ETM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V3_R3.docx
audio_output_management_ltm_etm_amplified_audio_system_v6_r2	Audio_Output_Management_-_LTM_ETM_Amplified_Audio_System_VF651_V6_R2.docx	e20ba7a4f8f744e89bfa5c770700ba267ed7f6a0015becc045ef8f63dbeef0f2	V6	privacy	proposed｜路徑：features/privacy/inputs/Audio_Output_Management_-_LTM_ETM_Amplified_Audio_System_VF651_V6_R2.docx
audio_output_management_ltm_non_amplified_audio_system_v2_r2	Audio_Output_Management_-_LTM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V2_R2.docx	d5813bb7ccd6f721949c166c60727448193cbbff920d539b79639ebb31461cae	V2	privacy	proposed｜路徑：features/privacy/inputs/Audio_Output_Management_-_LTM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V2_R2.docx
bed_lowering_mode_hmi_logic_and_flow_r1_sr24_1a_june_21_2021	Bed Lowering Mode HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf	0277ed00beab2d05d3a95a68d996c8297bfc9ae09ce0d43c4158ea667750e9d0	R1 	bed_lowering	proposed｜路徑：features/bed_lowering/inputs/Bed Lowering Mode HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf
c_vf230_v1_r5_pdt27_v800c1fd2	C-VF230_V1_R5_PDT27.doc	800c1fd2c34e14c9dcb0490d9453b554c1fd243f3d0a543b9bd1dc22a88760b5	V1	vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/C-VF230_V1_R5_PDT27.doc
c_vf230_v1_r5_pdt27_v79aea849	C-VF230_V1_R5_PDT27.docx	79aea8490ca2627440121189d2800f1ed3c50418b73be4538e47dd02fc9bbc8b	V1	vehicle_setting	proposed｜路徑：features/vehicle_setting/inputs/C-VF230_V1_R5_PDT27.docx
cfts_019_part2_all_accepted_except_dtc_rework	CFTS 019_Part2 -All Accepted-Except-DTC-rework.xlsx	b2c8e22fd9715ecf49886d546969ff8e07ec95bd178f8fe94468b7be55782f33		audio_mgmt	proposed｜路徑：features/audio_mgmt/inputs/CFTS 019_Part2 -All Accepted-Except-DTC-rework.xlsx
