# source_sha256	2d12fa11a4fc21163148e179b2a64138d6c8412c82f6d9e6a17fbb18e0fbf9eb	 sheet	Analysis Report
STLA 報告_SWRA\nSTLA Report_SWRA																													
																			FM-WI-FSM-037-A03										
			Project  Name：																										
			Reviewer：		Date：	2020/09/05																							
																													
Software  Requirement Analysis Report																													
SWE-Requirement ID 	Source Requirement ID	HMI Source ID	Requirement  Title	Requirement  Description	Release Version	Categorization	FROP\n(Feature Rollout Plan)	Sub Categorization	Feasibility	 Description/Action for Feasibility	 Impact	Description/Action for  Impact	Risk Factor	Description/Action for Risk Factor	Reusable	Description/Action for Reusable	Priority	Verification Criteria	Verification Method 										
SWE1-HMI-001	SYS-HMI-RA-PHONE-016	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.1	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.1	The system shall allow max of two connected phones at any given time.	1.00.00	Functional Requirement	Device Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	High	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.1\n\nExpected Result:\n- The system shall allow max of two connected phones at any given time.	Manual UI Testing										
SWE1-HMI-002	SYS-HMI-RA-PHONE-017	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.2	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.2	The system shall allow only one active call using the HU mic and speakers at any given time.	1.00.00	Functional Requirement	Audio Management	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	High	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.2\n\nExpected Result:\n- The system shall allow only one active call using the HU mic and speakers at any given time.	Manual UI Testing										
SWE1-HMI-003	SYS-HMI-RA-PHONE-018	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	MPA03) HU shall allow only one phone to be in Projection Mode at any given time. During an active Projection session, only that device will have active phone functions except CarLife.	1.00.00	Heading	Connection Manager	HMI 人機介面									High	Please refer to the following IDs:\nSWE1-HMI-003-01\nSWE1-HMI-003-02	Manual UI Testing										
SWE1-HMI-003-01	SYS-HMI-RA-PHONE-018	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	The system shall allow only one phone to be in Projection Mode at any given time.	1.00.00	Functional Requirement	Connection Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	High	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3\n\nExpected Result:\n- The system shall allow only one phone to be in Projection Mode at any given time.	Manual UI Testing										
SWE1-HMI-003-02	SYS-HMI-RA-PHONE-018	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	The system shall during an active Projection session, only that device will have active phone functions except CarLife.	1.00.00	Functional Requirement	Connection Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	High	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3\n\nExpected Result:\n- The system shall during an active Projection session, only that device will have active phone functions except CarLife.	Manual UI Testing										
SWE1-HMI-004	SYS-HMI-RA-PHONE-019	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.4	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.4	The system shall the Phone section will display phonebooks individually (not merged) with a method for users to toggle between both phonebooks.	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	Medium	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.4\n\nExpected Result:\n- The system shall the Phone section will display phonebooks individually (not merged) with a method for users to toggle between both phonebooks.	Manual UI Testing										
SWE1-HMI-005	SYS-HMI-RA-PHONE-021	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.6	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.6	The system shall the “active” phone is defined as the connected phone with active phonebook.	1.00.00	Functional Requirement	Device Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	Medium	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.6\n\nExpected Result:\n- The system shall the “active” phone is defined as the connected phone with active phonebook.	Manual UI Testing										
SWE1-HMI-006	SYS-HMI-RA-PHONE-022	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.7	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.7	The system shall switching to a new phonebook switches to a new “active” phone.	1.00.00	Functional Requirement	Device Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	Medium	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.7\n\nExpected Result:\n- The system shall switching to a new phonebook switches to a new “active” phone.	Manual UI Testing										
SWE1-HMI-007	SYS-HMI-RA-PHONE-023	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.8	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.8	The system shall the term “Multiphone” refers to having two connected phones at the same time.	1.00.00	Functional Requirement	Device Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	Low	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.8\n\nExpected Result:\n- The system shall the term “Multiphone” refers to having two connected phones at the same time.	Manual UI Testing										
SWE1-HMI-008	SYS-HMI-RA-PHONE-024	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.9	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.9	The system shall multiphone feature allows Phone functions (calls, texts) for two phones (but not BTSA for two phones)	1.00.00	Functional Requirement	Device Manager	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	High	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.9\n\nExpected Result:\n- The system shall multiphone feature allows Phone functions (calls, texts) for two phones (but not BTSA for two phones)	Manual UI Testing										
SWE1-HMI-009	SYS-HMI-RA-PHONE-025	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.10	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.10	The system shall if user attempts to place a 3rd call while there are 2 connected calls, the system shall block it from dialing out.	1.00.00	Functional Requirement	Bluetooth	Service 服務	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	High	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.10\n\nExpected Result:\n- The system shall if user attempts to place a 3rd call while there are 2 connected calls, the system shall block it from dialing out.	Manual UI Testing										
SWE1-HMI-010	SYS-HMI-RA-PHONE-029	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	PHCAT1.1) Current Call tab will be displayed when a call is initiated, answered, active, or recently ended in the respective Connected Phone Tab until there are no active calls currently on through that device, in which case the Current Call tab will no longer be visible to the customer. For R1 Low 7" the “devices” tab will change to the “Call” tab when a call is active. After the calls ends, the Call tab will be replaced by the Devices tab again.	1.00.00	Heading	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面									Medium	Please refer to the following IDs:\nSWE1-HMI-010-01\nSWE1-HMI-010-02\nSWE1-HMI-010-03	Manual UI Testing										
SWE1-HMI-010-01	SYS-HMI-RA-PHONE-029	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	The system shall pHCAT1.1) Current Call tab will be displayed when a call is initiated, answered, active, or recently ended in the respective Connected Phone Tab until there are no active calls currently on through that device, in which case the Current Call tab will no longer be visible to the customer.	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible via software implementation on the head unit.	Yes	Impacts system behavior or UI navigation.	Low	Low risk; standard pattern.	>=50%	Software logic/UI pattern reusable across vehicle programs.	Medium	Precondition:\n- Vehicle equipped with Phone/HMI features\n- Ignition ON\n\nAction:\n- Trigger behavior related to: Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1\n\nExpected Result:\n- The system shall pHCAT1.1) Current Call tab will be displayed when a call is initiated, answered, active, or recently ended in the respective Connected Phone Tab until there are no active calls currently on through that device, in which case the Current Call tab will no longer be visible to the customer.	Manual UI Testing										
