# source_sha256	2d12fa11a4fc21163148e179b2a64138d6c8412c82f6d9e6a17fbb18e0fbf9eb	 sheet	封面
							
							
							
		文件名 \nDocument name: 	STLA 報告_SWRA\nSTLA Report_SWRA				
							
		版本 Version	D			修訂日期 Revision Date	
		核准者 Approver	劉安哲 AllenACLiu			2026-04-27 00:00:00	
		審查者 Reviewer	吳冠麒 StanleyKCWu			2026-04-23 00:00:00	
		作者 Author	劉耕銘 NikKMLiu			2026-04-21 00:00:00	
							
							
		STLA 報告_SWRA\nSTLA Report_SWRA					
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							FM-WI-FSM-037-A03
