# source_sha256	cdf0812fb9f74b710a723a73b72b141ade7f97a99f60d5059696f65477fb7eef	 sheet	Analysis Report
STLA 報告_SWRA\nSTLA Report_SWRA																			
																			FM-WI-FSM-037-A03
			Project  Name：																
			Reviewer：		Date：	2020/09/05													
																			
Software  Requirement Analysis Report																			
SWE-Requirement ID 	Source Requirement ID	HMI Source ID	Requirement  Title	Requirement  Description	Release Version	Categorization	FROP\n(Feature Rollout Plan)	Sub Categorization	Feasibility	 Description/Action for Feasibility	 Impact	Description/Action for  Impact	Risk Factor	Description/Action for Risk Factor	Reusable	Description/Action for Reusable	Priority	Verification Criteria	Verification Method 
SWE1-POP-001	SYS-HMI-RA-CORE-041	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.5	Pop-up Close - press second time	GP3.) If a button opens a custom pop-up (example: Status Bar Temperature/Comfort Controls Pop-up), pressing the button a second time will close the pop-up.	1.00.00	Heading			Yes	Duplicated feature of SWE1-POP-002-02									
SWE1-POP-002	SYS-HMI-RA-CORE-042	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	Pop-up close	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is defined in Pop-up List document), 2) after pressing button that opened pop-up again (eg. Tracks popups), 3) when touching screen outside of pop-up 4) after making a selection inside the pop-up (if applicable; exceptions when the popup allows the user to perform more than 1 task- e.g in the search keyboard only X button 'close', any other buttons do not close the popup).	1.00.00	Heading												Please refer to the following IDs:\nSWE1-POP-004-01\nSWE1-POP-004-02\nSWE1-POP-004-03\nSWE1-POP-004-04\nSWE1-POP-004-05	Manual UI Testing, Integration test.
SWE1-POP-002-01	SYS-HMI-RA-CORE-042	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	Pop-up close - time out	Pop-ups can be closed after time-out (timeout is defined in Pop-up List document)	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible by implementing an independent timer mechanism within the central Pop-up Manager.	Yes	Impacts the dismissal logic of all pop-ups system-wide.	Low	The API is exposed, requester should call the API to set the timer.	1	A time out mechanism has implemented, and the API is exposed for requester to set the time out time	Medium	Precondition:\n- A pop-up requirement with a defined timeout configuration (e.g., 5 seconds) is ready to be triggered.\n- The system is on and functional.\n\nAction:\n- Trigger the specific pop-up window on the screen.\n- Do not perform any user interactions after the pop-up appears.\n- Observe the pop-up window's display status and measure the elapsed time.\n\nExpected Result:\n- The pop-up should automatically closes after the defined timeout duration.	Manual UI Testing, Integration test.
SWE1-POP-002-02	SYS-HMI-RA-CORE-042	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	Pop-up close - press second time	Pop-ups can be closed after pressing button that opened pop-up again (eg. Tracks popups), 	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible by expose a "pop-up closed" API for requester to register and implemement pop-up close condition	Yes	Impacts the dismissal logic of all pop-ups system-wide and the button event handle of pop-up requester	Low	Condition should be implemented by requester. This toggle control logic should be encapsulated into a shared UI button component.	1	A remove pop up mechanism has implemented, and the API is exposed for requested., the requester can implement the condition of closing pop up	Medium	Precondition:\n- A specific pop-up is associated with a physical hard button or a specific UI button on the screen.\n- The system is on, and the pop-up is currently not displayed.\n- Press the button to trigger and display the pop-up.\n- The pop-up is successfully displayed.\n\nAction:\n- Press the same button again while the pop-up is still active.\n\nExpected Result:\n- After the second press the pop-up should be closed.	Manual UI Testing, Integration test.
SWE1-POP-002-03	SYS-HMI-RA-CORE-042	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	Pop-up close - touch out side	Pop-ups can be closed when touching screen outside of pop-up 	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible by leveraging the UI framework's window configuration flags (e.g., FLAG_NOT_TOUCH_MODAL or setCanceledOnTouchOutside(true)). The system monitors touch events outside the bounds of the pop-up window. Upon detecting an outside touch gesture, a dismissal callback is triggered to safely remove the overlay window from the active window stack via the central Pop-up Manager.	Yes	Impacts the dismissal logic of all pop-ups system-wide and the handling of background touch events (Touch Outside).	Low	The API is exposed and default to disable, requester should call the API to enable the feature	1	A touch to dismiss mechanism has implemented, and the API is exposed for requester to turn on/off touch to dismiss mechanism.	Medium	Precondition:\n- A specific pop-up configured with the "Touch Outside Dismiss" mechanism is ready to be triggered.\n- The system is on, and the pop-up is currently not displayed.\n- Perform the necessary interaction to trigger and display the pop-up on the screen.\n- The pop-up is successfully displayed on the screen.\n\nAction:\n- Tap any area of the screen outside the boundaries (window frame) of the displayed pop-up.\n\nExpected Result:\n- Upon touching the screen outside the pop-up bounds, the pop-up should be closed.	Manual UI Testing, Integration test.
SWE1-POP-002-04	SYS-HMI-RA-CORE-042	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	Pop-up close - selection	Pop-ups can be closed after making a selection inside the pop-up if applicable	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible by expose a "pop-up closed" API for requester to register and implemement pop-up close condition	Yes	Impacts the dismissal logic of all pop-ups system-wide and the button event handle of pop-up requester	Low	Condition should be implemented by requester.	1	A remove pop up mechanism has implemented, and the API is exposed for requested., the requester can implement the condition of closing pop up	Medium	Precondition:\n- A specific pop-up containing interactive elements is configured to close upon selection.\n- The system is on, and the pop-up is currently displayed on the screen.\n- Interact with the pop-up by making a valid selection.\n- The pop-up is successfully displayed on the screen.\n\nAction:\n- Interact with the pop-up by making a valid selection (e.g., tap an option or press a "Confirm"/"Cancel" button inside the pop-up).\n\nExpected Result:\n- The pop-up should be closed	Manual UI Testing, Integration test.
SWE1-POP-002-05	SYS-HMI-RA-CORE-042	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	Pop-up close - selection exception	Exceptions when the popup allows the user to perform more than 1 task- e.g in the search keyboard only X button 'close', any other buttons do not close the popup	1.00.00	Functional Requirement	Core HMI(System UI,Pop-Up, menu bar...)	HMI 人機介面	Yes	Feasible by expose a "pop-up closed" API for requester to regist and implemement pop-up close condition	Yes	Impacts the dismissal logic of all pop-ups system-wide and the button event handle of pop-up requester	Low	Special attention is needed to ensure exceptions (like keyboards) are not mistakenly closed by outside touches. Condition should be implemented by requester.	1	A remove pop up mechanism has implemented, and the API is exposed for requested., the requester can implement the condition of closing pop up	Medium	Precondition:\n- A functionality that will trigger pop-up with multi task is ready\n- The system is on and functional.\n- Trigger the pop-up\n- The pop-up is displayed\n\nAction:\n- Tap the button (or interactive component) that is not suppose close pop-up\n\nExpected Result:\n- The pop-up should not be closed	Manual UI Testing, Integration test.
