# source_sha256	cdf0812fb9f74b710a723a73b72b141ade7f97a99f60d5059696f65477fb7eef	 sheet	Product Document 記錄封面頁
產品文件\nProduct Document							
			FM-WI-FSM-037-A03				
專案代號\nProject Code							
文件名稱\nDocument Name							
版本\nVersion							
部門\nPrepared Dep.							
分類\nClassification							
日期\nDate							
審查者 \nReviewer							
核准者 \nApprover							
文件修訂歷史\nDocument Amendment History							
版本Version	修訂內容Revision Content	作者Author	日期Date				
0.1	Init version	Brian Yang	2026-05-11 00:00:00				
0.2	Refine : 1.remove discope requirements \n2.Add requirements from Core-HMI	Brian Yang	2026-05-19 00:00:00				
							
							
