# source_sha256	cdf0812fb9f74b710a723a73b72b141ade7f97a99f60d5059696f65477fb7eef	 sheet	封面
							
							
							
		文件名 \nDocument name: 	STLA 報告_SWRA\nSTLA Report_SWRA				
							
		版本 Version	D			修訂日期 Revision Date	
		核准者 Approver	劉安哲 AllenACLiu			2026-04-27 00:00:00	
		審查者 Reviewer	吳冠麒 StanleyKCWu			2026-04-23 00:00:00	
		作者 Author	劉耕銘 NikKMLiu			2026-04-21 00:00:00	
							
							
		STLA 報告_SWRA\nSTLA Report_SWRA					
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							FM-WI-FSM-037-A03
