# source_sha256	be55d8978f9472f3b7bae8643eee139525f2c455b8bddce24f3911c4128e9d05	 sheet	Analysis Report
STLA 報告_SWRA\nSTLA Report_SWRA																	
																	FM-WI-FSM-037-A03
		Project Name：			#NAME?												
		Reviewer：		Date：													
																	
Software  Requirement Analysis Report																	
SWE-Requirement ID 	Source Requirement ID	Requirement  Title	Requirement  Description	Release Version	Categorization	Sub Categorization	Feasibility	 Description/Action for Feasibility	 Impact	Description/Action for  Impact	Risk Factor	Description/Action for Risk Factor	Reusable	Description/Action for Reusable	Priority	Verification Criteria	Verification Method 
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-001	Sys-RA-VF665_V42_VSM-789	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2 	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	1.00.00	Heading			 	 	 	 	 	 	 		 	 
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-002	Sys-RA-VF665_V42_VSM-790	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2 	The HMI layer shall send a request to VehicleConfigManager to retrieve the CAN node 24 (PAM ) PROXI configuration.\nVehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested CAN node 24 (PAM ) value from SystemProperties / HW configuration.\nThe response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer.\nThe HMI layer shall evaluate the received CAN node 24 (PAM ) PROXI value to determine the availability of the feature.\nIf $CAN node 24 (PAM )$ = [Present], the TLM shall display the corresponding customer setting and the user can perform the setting.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	 *setting.Set/simulate “CAN node 24 (PAM )" PROXI parameter is equal to absent\n*check TLM shall not display the Park Sense Setting menu item and the user can not perform any setting.\n	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-003	Sys-RA-VF665_V42_VSM-791	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2 	The HMI layer shall capture the customer selection for the PAM Alert Mode setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req signal value set to Sound. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for hardware/IPC update. The HW supplier shall provide the VHAL/API interface to transmit the TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req signal from TLM to IPC over the BH-CAN network, supporting the signal coding/value Sound. The HMI layer shall maintain and update the displayed setting according to the requested value, and any invalid value shall be treated as invalid by the HMI.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-004	Sys-RA-VF665_V42_VSM-792	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2 	The HMI layer shall capture the customer selection for the PAM Alert Mode setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req signal value set to **Sound+Display**. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for hardware/IPC update. The HW supplier shall provide the VHAL/API interface to transmit the TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req signal from TLM to IPC over the BH-CAN network, supporting the signal coding/value **Sound+Display**. The HMI layer shall maintain and update the displayed setting according to the requested value, and any invalid value shall be treated as invalid by the HMI.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-005	Sys-RA-VF665_V42_VSM-793	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2 	The HW supplier shall notify the IPC_VEHICLE_SETUP.PamAlertMode signal via the VHAL interface. CarPropertyService shall receive the IPC_VEHICLE_SETUP.PamAlertMode signal from VHAL and forward it to CarPropertyManager. CarPropertyManager shall expose the value to the HMI via the API interface. The HMI layer shall evaluate the received IPC_VEHICLE_SETUP.PamAlertMode signal, update the TLM_Vehicle_Setup_Menu.Info internal signal, and display the Park Sense Alert Mode setting information accordingly within <TDisplay>. Any invalid value shall be considered invalid by the HMI.		Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-006	Sys-RA-VF665_V42_VSM-794	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2 	The HMI layer shall send a request to VehicleConfigManager to retrieve the CAN node 24 (PAM ) PROXI configuration.\nVehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested CAN node 24 (PAM ) value from SystemProperties / HW configuration.\nThe response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer.\nThe HMI layer shall evaluate the received CAN node 24 (PAM ) PROXI value to determine the availability of the feature.\nIf $CAN node 24 (PAM )$ = [Present], the TLM shall display the corresponding customer setting and the user can perform the setting.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	 *setting.Set/simulate “CAN node 24 (PAM )" PROXI parameter is equal to present\n*check TLM shall display the Park Sense Setting   menu item  and the user can perform setting.\n	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-007	Sys-RA-VF665_V42_VSM-795	 Rear Park Sense Volume/ ParkSense Volume	Rear Park Sense Volume / ParkSense Volume	1.00.00	Heading			 	 	 	 	 	 	 		 	 
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-008	Sys-RA-VF665_V42_VSM-796	 Rear Park Sense Volume/ ParkSense Volume	The HMI layer shall send a request to VehicleConfigManager to retrieve the CAN node 24 (PAM) and PAM_Configuration PROXI configuration.\nVehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested CAN node 24 (PAM) and PAM_Configuration values from SystemProperties / HW configuration.\nThe response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer.\nThe HMI layer shall evaluate the received PROXI values to determine the availability of the feature.\nIf $CAN node 24 (PAM)$ = [Present], the TLM shall display the corresponding customer setting and the user can perform the setting.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	 *setting.Set/simulate “CAN node 24 (PAM )" PROXI parameter is equal to present AND "PAM_Configuration" PROXI parameter is equal to  "Rear" OR "Front And Rear"\n*check IPC shall display the Front Park Sense Volume menu item  and the user can perform setting.\n	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-009	Sys-RA-VF665_V42_VSM-797	 Rear Park Sense Volume/ ParkSense Volume	The HMI layer shall capture the customer selection for the PAM Chime Volume Rear setting and send the requestusing CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req signal value set to Low. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for hardware/IPC update. \n The HW supplier shall provide the VHAL/API interface to transmit the TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req signal fromTLM to IPC over the BH-CAN network, supporting the signal coding/value Low. The HMI layer shall maintain and update \n the displayed setting according to the requested value, and any invalid value shall be treated as invalid by the HMI.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-010	Sys-RA-VF665_V42_VSM-798	 Rear Park Sense Volume/ ParkSense Volume	The HMI layer shall capture the customer selection for the **PAM Chime Volume Rear** setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req signal value set to **Med**. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for hardware/IPC update. The HW supplier shall provide the VHAL/API interface to transmit the TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req signal from TLM to IPC over the BH-CAN network, supporting the signal coding/value **Med**. The HMI layer shall maintain and update the displayed setting according to the requested value, and any invalid value shall be treated as invalid by the HMI.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-011	Sys-RA-VF665_V42_VSM-799	 Rear Park Sense Volume/ ParkSense Volume	The HMI layer shall capture the customer selection for the **PAM Chime Volume Rear** setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req signal value set to **High**. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for hardware/IPC update. The HW supplier shall provide the VHAL/API interface to transmit the TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req signal from TLM to IPC over the BH-CAN network, supporting the signal coding/value **High**. The HMI layer shall maintain and update the displayed setting according to the requested value, and any invalid value shall be treated as invalid by the HMI.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-012	Sys-RA-VF665_V42_VSM-800	 Rear Park Sense Volume/ ParkSense Volume	The HW supplier shall notify the IPC_VEHICLE_SETUP.PamChimeVolumeRear signal via the VHAL interface. CarPropertyService shall receive the IPC_VEHICLE_SETUP.PamChimeVolumeRear signal from VHAL and forward it to CarPropertyManager. CarPropertyManager shall expose the value to the HMI via the API interface. The HMI layer shall evaluate the received IPC_VEHICLE_SETUP.PamChimeVolumeRear signal, update the TLM_Vehicle_Setup_Menu.Info internal signal, and display the **Rear Park Sense Volume** setting information accordingly within <TDisplay>. Any invalid value shall be considered invalid by the HMI.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-013	Sys-RA-VF665_V42_VSM-801	 Rear Park Sense Volume/ ParkSense Volume	The HMI layer shall determine the availability of the **Rear Park Sense Volume** setting based on the corresponding vehicle configuration or feature availability. If the feature is not supported, the HMI layer shall not display the **Rear Park Sense Volume** menu item, and the user shall not be able to access or modify the setting. CarPropertyManager and CarPropertyService shall not issue any property request for this setting when it is unavailable. The HMI layer shall ensure that the menu item remains hidden until the feature becomes available through the corresponding vehicle configuration.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-FrontParkSenseVolume-014	Sys-RA-VF665_V42_VSM-802	 Front Park Sense Volume	 Front Park Sense Volume	1.00.00	Heading			 	 	 	 	 	 	 		 	 
SWE1-VC-FrontParkSenseVolume-015	Sys-RA-VF665_V42_VSM-803	 Front Park Sense Volume	The HMI layer shall send a request to VehicleConfigManager to retrieve the CAN node 24 (PAM) and PAM_Configuration PROXI configuration.\nVehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested CAN node 24 (PAM) and PAM_Configuration values from SystemProperties / HW configuration.\nThe response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer.\nThe HMI layer shall evaluate the received PROXI values to determine the availability of the feature.\nIf $CAN node 24 (PAM)$ = [Present], the TLM shall display the corresponding customer setting and the user can perform the setting.	1.00.00	Functional Requirement	Vehicle Setting Management (VSM)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	 *setting.Set/simulate “CAN node 24 (PAM )" PROXI parameter is equal to present AND "PAM_Configuration" PROXI parameter is equal to  "Front And Rear"\n*check IPC shall display the Front Park Sense Volume menu item  and the user can perform setting.\n	 1. Software Validation\n2. System Validation\n3. Integration test.
