tbl_idx	row_idx	cells
0	0	Date | Author | Description
0	1	2019/23/08 | Francesca Farolfi | First releaseCarry-Over document from: N.A.Derived document from: VF665_V42_R1_P250MCA
0	2	2020/02/18 | Francesca Farolfi | CR14128SRXX-2743 (JIRA)1) Paragraph: Functional RequirementChanges: updated "Units" paragraph 
0	3	2020/05/15 | Francesca Farolfi | CR145061) Paragraph: Functional DiagramChanges: added IPC_VEHICLE_SETUP2.PassiveEntrySelection and TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req B-CAN signals and PassiveEntrySelection.Req internal signal. Added Passive_Entry_Types PROXI parameterRemoved IPC_VEHICLE_SETUP.AutomaticResetTripB and TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req 2) Paragraph: Functional RequirementsChanges: updated "Passive Entry" paragraph and removed "Automatic Reset Trip B" paragraph
0	4	2020/10/14 | Pasquale De Marco | CR151391) Paragraph: Functional Diagram                                         Changes: added       IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable and TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable _Req B-CAN signals;added HeadlampOnWithWiperEnable.Req internal signal;added Headlamp_On_With_Wiper PROXI parameter2) Paragraph: Functional RequirementsChanges: added "Headlamps On with Wipers on" paragraph
0	5	 | Pasquale De Marco | CR15585: Impacted Component: LTM1) Paragraph: Functional RequirementChanges: updated according to RAR-2176
0	6	2022/06/10 | Fabiola Castaldi | CR16309Involved Component: LTM1) Paragraph: Functional Requirement Change: updated "Trailer Lenght for Blind Spot Alert", adding CAN node 51 (LBSS) and CAN node 52 (RBSS) Proxi parameterRECONSIDERTypo correction in "Trailer Lenght for Blind Spot Alert" (VF_6734)
1	0	Ignition Working Conditions | Active Sub Function Names | Reference Paragraphs
1	1	Ignition Off | -- | --
1	2	Ignition ACC | -- | --
1	3	Ignition On | -- | --
1	4	Ignition Pre Start | -- | --
1	5	Ignition Start | -- | --
1	6	Ignition Cranking | -- | --
1	7	Ignition On Engine On | -- | --
1	8	Ignition Pre ACC | -- | --
1	9	Ignition Pre Off | -- | --
2	0	Functional Working Conditions | Functional Requirements | Reference Paragraphs
2	1	Temporization After Ignition Off | No | N.A.
2	2	Automatic Cranking (S&S)  | No | N.A.
2	3	Automatic Stop (S&S) | No | N.A.
2	4	Low Battery | No | N.A.
2	5	Plant/Emission Mode | No | N.A.
2	6	Logistic Mode | No | N.A.
3	0	ID | Component / Signal / Message Name | Diagnosis Type | Functional  Recovery | DTC Stored | Detect Condition | Fault Signal
3	1	1.0 | IPC_VEHICLE_SETUP | Missing Message | LTM | LTM | Ignition_OnIgnition_On_Engine_On | N.A.
3	2	2.0 | LTM_OperationalModeSts.InfoLTM_CmdIgnSts.Info | Plausibility | LTM | N.A. | Ignition_OnIgnition_StartIgnition_On_Engine_On | N.A.
3	3	3.0 | IPC_VEHICLE_SETUP2 | Missing Message | N.A. | LTM | Ignition_OnIgnition_On_Engine_On | N.A.
3	4	4.0 | STATUS_CCAN3 | Missing Message | N.A. | LTM | Ignition_OnIgnition_On_Engine_On | N.A.
3	5	6.0 | SERVICE_SETUP | Missing Message | LTM | LTM | Ignition_OffIgnition_OnIgnition_On_Engine_On | N.A.
4	0	ID | Parameter Name | First Trial Value | Range Value | Resolution | Unit | Component | Implementation | XCP Availability | Impact | Parameter Description 
4	1	9 | TimeOut1 | 1 | [0;10] | 0,1 | sec | LTM | DEFINE | No | Diagnosis | Waiting Time of ACK from IPC
4	2	36 | T_EPB_MM | 35000 | [0;50000] | 200 | ms | LTM | DEFINE | No | N.A. | Waiting Time of feedback  from IPC for EPB setting
4	3	37 | V_Car_Moving | 4 | [0;7] | 0,5 | km/h | LTM | DEFINE | No | N.A. | Speed threshold for car moving
4	4	48 | T_REC_IPC | 5000 | [0;10000] | 500 | ms | LTM | SUPPLIER EOL_2 | No | Diagnosis | See ID Description
4	5	49 | T_REC_BCM | 1000 | [0;2000] | 100 | ms | LTM | SUPPLIER EOL_2 | No | Diagnosis | See ID Description
4	6	54 | T_REC_TBM | 2500 | [0;10000] | 500 | ms | LTM | SUPPLIER EOL_2 | No | Diagnosis | See ID Description
4	7	55 | T_ACK | 2000 | [0;10000] | 100 | ms | TBM | SUPPLIER EOL_2 | No | NA | See ID Description
5	0	ID | Signal Name | Event Type | Component Awoken / Waking up | Wake up Type | Waking Up Functionality
5	1	 | N.A. | N.A. | N.A. | N.A. | N.A.
