y	text
3982	TELEMATIC
3982	_VEHICLE
3982	_SETUP
3982	.AutoHighBeamEnable
3982	_Req
4072	TELEMATIC
4072	_VEHICLE
4072	_SETUP
4072	.AutoParkBrake
4072	_Req
4131	TELEMATIC
4131	_VEHICLE
4131	_SETUP
4131	.BSDEnable
4131	_Req
4221	TELEMATIC
4221	_VEHICLE
4221	_SETUP
4221	.ConsumptionUnit
4221	_Req
4310	TELEMATIC
4310	_VEHICLE
4310	_SETUP
4310	.CorneringEnable
4310	_Req
4340	Audio
4340	_Repetition
4340	_Setting
4340	.Req
4370	TELEMATIC
4370	_VEHICLE
4370	_SETUP
4370	.DistanceUnit
4370	_Req
4400	Auto_High_Beam
4400	_Enable
4400	.Req
4459	TELEMATIC
4459	_VEHICLE
4459	_SETUP
4459	.DRLEnable
4459	_Req
4490	Auto_Park_Brake
4490	_Enable
4490	.Req
4519	TELEMATIC
4519	_VEHICLE
4519	_SETUP
4519	.ExternalLightSensorLevel
4519	_Req
4578	Auto_Unlock
4578	_Door_Exit_Enable
4578	.Req
4609	TELEMATIC
4609	_VEHICLE
4609	_SETUP
4609	.HourMode
4609	_Req
4638	Blind_Spot_Detection
4638	_Setting
4638	.Req
4698	TELEMATIC
4698	_VEHICLE
4698	_SETUP
4698	.LanguageSelection
4698	_Req
4728	ClearPersonalData
4728	_Enable
4728	.Req
4758	TELEMATIC
4758	_VEHICLE
4758	_SETUP
4758	.PamAlertMode
4758	_Req
4818	Consumption
4818	_Unit_Setting
4818	.Req
4847	TELEMATIC
4847	_VEHICLE
4847	_SETUP
4847	.PamChimeVolumeFront
4847	_Req
4847	VF230
4906	Cornering
4906	_Enable
4906	.Req
4906	TELEMATIC
4906	_VEHICLE
4906	_SETUP
4906	.PamChimeVolumeRear
4906	_Req
4966	Day1_Setting
4966	.Req
4996	TELEMATIC
4996	_VEHICLE
4996	_SETUP
4996	.PassiveEntry
4996	_Req
5056	Day2_Setting
5056	.Req
5086	TELEMATIC
5086	_VEHICLE
5086	_SETUP
5086	.RainSensorLevel
5086	_Req
5146	Distance
5146	_Unit_Setting
5146	.Req
5146	TELEMATIC
5146	_VEHICLE
5146	_SETUP
5146	.RemoteDoorUnlock
5146	_Req
5205	DRL_Enable
5205	.Req
5234	TELEMATIC
5234	_VEHICLE
5234	_SETUP
5234	.Sdw_Req
5294	Drowsy
5294	_Driver
5294	_Alert_Enable
5294	.Req
5294	TELEMATIC
5294	_VEHICLE
5294	_SETUP
5294	.SoundHornLock
5294	_Req
5384	Dynamic
5384	_Grid_Setting
5384	.Req
5384	TELEMATIC
5384	_VEHICLE
5384	_SETUP
5384	.SoundHornRemoteStart
5384	_Req
5414	TLM_Vehicle
5414	_Setup
5414	_Menu.Info
5474	External
5474	_Light_Sensor
5474	_Level
5474	_Setting
5474	.Req
5474	TELEMATIC
5474	_VEHICLE
5474	_SETUP
5474	.SpeedLockDoorEnable
5474	_Req
5533	Flash
5533	_Light_With_Lock_Enable
5533	.Req
5533	TELEMATIC
5533	_VEHICLE
5533	_SETUP
5533	.TemperatureUnit
5533	_Req
5622	FSCWPlus
5622	_Activation
5622	_Mode_Setting
5622	.Req
5622	TELEMATIC
5622	_VEHICLE
5622	_SETUP
5622	2.AutoUnlockDoorExit
5622	_Req
5682	TELEMATIC
5682	_VEHICLE
5682	_SETUP
5682	2.EPB_MaintenanceMode
5682	_Req
5712	FSCWPlus
5712	_Setting
5712	.Req
5771	Geolocation
5771	_Enable
5771	.Req
5771	TELEMATIC
5771	_VEHICLE
5771	_SETUP
5771	2.FlashLightWLock
5771	_Req
5861	GPS_Automatic
