# source_sha256	72411efdd597482bc1b3bb394dbba002107feb27dca33bd6934b46008668994c	 sheet	Instructions
		FM-WI-FSM-035-A02	
項目分類Classification	項目Item	描述Description	
基本資訊\nBasic Information	編碼 (SYS-RA)\nID	xxx-xxx-xxx	
	Melco ID	紀錄Melco交接下來的需求分析號碼，讓我們可以對於重用以及現有的測試項目作參考\nRecord the requirement analysis numbers handed over by Melco, so that we can use them as a reference for reuse and existing test items.	
	需求描述\nDescription	此需求的描述。\nThe description of this requirement.	
	意見欄位\nComments Field	針對需求列出關聯的Domain，並做其他補充說明\nProvide the dependency of other Dominas and additional clarification regarding the requirement\n關聯分類 Dependency Category :\nProjectSystemDesign\nProjectSystemFeature\nAMM\nAndroidPF\nAudioDSP\nCAE\nCAMERA\nConnectivity\nDeadReckoning\nDevice Mirroring\nDiag_Engineering_Dealer\nFOTA\nMediaPlayer\nSecurity\nTelematics\nTelephony\nTuner\nV-FUNC	
來源需求與追溯 (Source Requirement & Traceability)	來源需求項目ID \nSource Requirement items	客戶的原始需求ID \nThe customer's original requirement ID	
	文件識別碼 \nDocument ID	客戶的原始需求文件\nThe customer's original requirement document	
需求屬性與分類\nRequirement Attributes & Categorization	EE Architecture\n(All, ATL-Hi, ATL-Mi)	填寫正確的電子電氣架構\nFill in the correct electrical/electronic architecture.\n\n- ATL-Hi = Atlantis High\n- ATL-Mi = Atlantis Middle\n- ALL = Atlantis High,  Atlantis Middle	
	VF章節 \nChapter for VF	將SYS1的"Label"資料對應Source id，填入VF章節，並將資料做轉換 (ex. 1.1 -> 01.01) ​\n參考Excel公式: =TEXTJOIN(".", TRUE, TEXT(TEXTSPLIT(I2, "."), "00"))​\n非VF文件可以略過此項\nMap the SYS1 “Label” data to the Source ID and fill it into the VF Chapter.and convert the data accordingly (e.g., 1.1 → 01.01).​\n\nExcel formula: =TEXTJOIN(".", TRUE, TEXT(TEXTSPLIT(I2, "."), "00"))\nNon "VF" document can skip it.	VF Merge diff.pptx
	VF後綴 \nVF suffix	手動將Source Requirement items後面(VF_XX)擷取，放進此欄位​\n非VF文件可以略過此項\nManually extract the suffix (VF_XX) from the Source Requirement item and enter it into this field.\nNon "VF" document can skip it.	
	分類\nCategory	被看成具有特定共有特徵的需求類別或劃分。\nA class or division of requirements regarded as having particular shared characteristics.\n\n- 標題 Heading \n- 資訊 Information \n- 功能需求 Functional Requirement \n- 非功能需求 Non Functional Requirement\n- 範圍外Out of scope	
	限定地區\nRegion	填寫此需求是否符合該銷售地區\nIndicate whether this requirement complies with the target sales region.	
	SW/HW/System	辨別此需求為軟體、硬體或者是系統(軟體兼硬體)\n※ 如果需求屬於下列項目，您可以填寫與類別 (Category) 相同的內容：\n- 標題 (Heading)\n- 資訊 (Information)\n- 範圍外 (Out of scope)\nIdentify whether this requirement is related to software, hardware, or system (both software and hardware).\n※If the requirement falls under the following items, you can fill in the same content as the Category:\n- Heading\n- Information\n- Out of scope	
	SYS2 System-HW	Describe HW requirement	
	SYS2 System-SW	Describe SW requirement	
	SYS2 HARMAN Status (硬體溝通紀錄\nCommuncation record with HW supplier)	Accepted\nNeed clarification\nRejected\nNeed Rework	
	SYS2 HARMAN Comments (硬體溝通紀錄\nCommuncation record with HW supplier)		
	SYS2 MD Status (硬體溝通紀錄\nCommuncation record with HW supplier)	Wait for Harman Review\nWait for RAR\nWait for Harman feedback\nAccepted\nMore Info	
	SYS2 MD Feedback (硬體溝通紀錄\nCommuncation record with HW supplier)		
	FROP(Feature Rollout Plan)	Steering Wheel Controls,Bluetooth,\nDevice Manager,Media Player-USB,\nMedia metadata on cluster,Carplay Wired and Wireless,\nAndroid Auto Wired and Wireless,Audio Management,\nAudio Tuning,SSE / ECNR,\nGPS,WiFi,Touch,Core HMI(System UI,Pop-Up, menu bar...),\nAntitheft,ICS Integration,Connection Manager,\nClimate Control,Vehicle Settings,Dealer Mode,\nPrivacy Mode,Remote Clear Personal Data,\nDriver Distraction Lockout Management,Customizable themes and layout,\nAUX,AM/FM,SXM,USB,TbT on cluster,\nCustomizable Splash Screen / Animations,\nEarly Chimes,Branded Chimes,Rear View Camera,\nCargo Camera (OOS),Connected services via TBM(TBM WIFI),\ne-call (public)(OOS),4G Wi-fi Hotspot,AOTA,STR,\nPower Management,Disclaimer screen,\nSecurity Topics,Hardware Trust Anchor Abstraction,\nSecure Storage,SAM (Security Access Module),CAE API's,\nDiagnostic,CAN List,BootLoader,\nKernel,Logging,Early Camera,SW Update via USB,\nFOTA Via Wi-fi,FOTA Via Tbox,FOTA ROV,\ne-call (private),b-call,Storage Partitioning,\nEngineering Mode,Radio Usage Analytics,\nDisplay,PROXI,Thermal Management,Time Management,\nLocalization,EV/PHEV Pages,In-Vehicle Messenger(OOS),\nConnected Personal Account 1.0,\nTelematics Client,Display Temperature Warnings,HMI Arabic Mirroring,\nHMI Driver Side Management,HMI Last Mode Management,\nPremium Audio1,Stocking Logic,Trust Execution Environment (TEE),User Profiles	
	優先級\nPriority	實施此需求的相對優先級。\nRelative priority for implement this requirement.\n\n- 高 High\n- 中 Medium\n- 低 Low	
	非模糊性 \n\nUnambiguous	需求的描述不應含糊不清。 \n\nThe description of the requirement should not have ambiguous statement.	
	文件版本\nRequirement Version	此需求對應車型的目前版本。\nThe current version of the vehicle model associated with this requirement.\n\na. 若該需求符合對應車型，則應填寫該車型下的最新文件版本\nIf the requirement applies to a specific vehicle model, the latest document version for that model should be provided.\nb. 若該需求不符合該車型，則須填寫”Not support”\nIf the requirement does not apply to the vehicle model, "Not support" must be entered.\n	
