# source_sha256	72411efdd597482bc1b3bb394dbba002107feb27dca33bd6934b46008668994c	 sheet	封面
							
							
							
		文件名 \nDocument name: 	STLA 技術安全需求分析報告_SYSRA \nSTLA Technical Safety Requirement Analysis Report_SYSRA				
							
		版本 Version	F			修訂日期 Revision Date	
		核准者 Approver	張志龍 Stanley Chang			2026-04-27 00:00:00	
		審查者 Reviewer	陳禹伸 YuShen Chen			2026-04-23 00:00:00	
		作者 Author	林沅佑 Leyo Lin			2026-04-21 00:00:00	
							
							
		STLA 技術安全需求分析報告_SYSRA \nSTLA Technical Safety Requirement Analysis Report_SYSRA					
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							FM-WI-FSM-035-A02 
